Source,Target,Weight
Methods Mol Biol,Biol Direct,3
Methods Mol Biol,J Integr Plant Biol,2
Methods Mol Biol,MBio,12
Methods Mol Biol,Mol Ther Nucleic Acids,4
Methods Mol Biol,Virus Res,1
Methods Mol Biol,Nat Plants,1
Methods Mol Biol,RNA Biol,28
Methods Mol Biol,Nat Chem Biol,1
Methods Mol Biol,Int J Mol Sci,9
Methods Mol Biol,Front Microbiol,3
Methods Mol Biol,Ann Neurol,1
Methods Mol Biol,Plant Biotechnol J,4
Methods Mol Biol,Nat Biotechnol,18
Methods Mol Biol,Nat Struct Mol Biol,10
Methods Mol Biol,Mol Cell Biol,2
Methods Mol Biol,Trends Cell Biol,1
Methods Mol Biol,Plant J,5
Methods Mol Biol,FEBS J,7
Methods Mol Biol,Stem Cell Reports,4
Methods Mol Biol,Biol Open,4
Methods Mol Biol,Cell Stem Cell,16
Methods Mol Biol,Bioinformatics,9
Methods Mol Biol,Infect Genet Evol,5
Methods Mol Biol,Cell Res,15
Methods Mol Biol,Extremophiles,3
Methods Mol Biol,Proc Biol Sci,2
Methods Mol Biol,Development,9
Methods Mol Biol,Dev Biol,3
Methods Mol Biol,Biochem J,4
Methods Mol Biol,J Ind Microbiol Biotechnol,1
Methods Mol Biol,Biotechnol Lett,2
Methods Mol Biol,Nat Neurosci,1
Methods Mol Biol,Int J Biol Sci,1
Methods Mol Biol,Brief Funct Genomics,2
Methods Mol Biol,Stem Cell Res,4
Methods Mol Biol,Angew Chem Int Ed Engl,1
Methods Mol Biol,Biol Chem,2
Methods Mol Biol,J Genet Genomics,14
Methods Mol Biol,Mol Microbiol,19
Methods Mol Biol,Zhonghua Liu Xing Bing Xue Za Zhi,1
Methods Mol Biol,Stem Cells Dev,5
Methods Mol Biol,Viruses,1
Methods Mol Biol,Nat Med,3
Methods Mol Biol,Appl Environ Microbiol,4
Methods Mol Biol,BMC Biotechnol,3
Methods Mol Biol,BMC Biol,2
Methods Mol Biol,J Clin Invest,1
Methods Mol Biol,Free Radic Biol Med,2
Methods Mol Biol,Fly (Austin),4
Methods Mol Biol,Am J Hum Genet,2
Methods Mol Biol,Hum Gene Ther,9
Methods Mol Biol,Hepatology,1
Methods Mol Biol,Genes Dev,6
Methods Mol Biol,Methods Cell Biol,5
Methods Mol Biol,Curr Biol,2
Methods Mol Biol,Biotechnol Bioeng,1
Methods Mol Biol,Bioresour Technol,1
Methods Mol Biol,Cell Microbiol,1
Methods Mol Biol,Sci China Life Sci,2
Methods Mol Biol,Trends Genet,1
Methods Mol Biol,Stem Cells,1
Methods Mol Biol,Trends Biotechnol,2
Methods Mol Biol,Methods Enzymol,11
Methods Mol Biol,Blood,2
Methods Mol Biol,Anal Biochem,1
Methods Mol Biol,Trends Microbiol,7
Methods Mol Biol,PLoS Pathog,2
Methods Mol Biol,Nat Rev Mol Cell Biol,1
Methods Mol Biol,J Biotechnol,3
Methods Mol Biol,Curr Protoc Mol Biol,6
Methods Mol Biol,BMC Bioinformatics,5
Methods Mol Biol,Cancer Cell,4
Methods Mol Biol,Curr Opin Biotechnol,1
Methods Mol Biol,Insect Biochem Mol Biol,5
Methods Mol Biol,Genetics,11
Methods Mol Biol,Gut,1
Methods Mol Biol,Yeast,1
Methods Mol Biol,Nan Fang Yi Ke Da Xue Xue Bao,2
Methods Mol Biol,Biochem Biophys Res Commun,9
Methods Mol Biol,J Neurosci Res,1
Methods Mol Biol,Nat Rev Genet,3
Methods Mol Biol,Biotechnol J,2
Methods Mol Biol,Curr Opin Immunol,1
Methods Mol Biol,Wei Sheng Wu Xue Bao,3
Methods Mol Biol,J Vis Exp,7
Methods Mol Biol,Curr Opin Chem Biol,1
Methods Mol Biol,Nat Rev Microbiol,11
Methods Mol Biol,Nat Rev Neurosci,1
Methods Mol Biol,Plant Physiol,2
Methods Mol Biol,Front Genet,2
Methods Mol Biol,J Cell Sci,1
Methods Mol Biol,Retrovirology,1
Methods Mol Biol,Parasitol Res,1
Methods Mol Biol,Annu Rev Genomics Hum Genet,1
Methods Mol Biol,Mol Plant,7
Methods Mol Biol,Leukemia,1
Methods Mol Biol,Cell Death Differ,2
Methods Mol Biol,Biomed Res Int,1
Methods Mol Biol,Gene Ther,2
Methods Mol Biol,RNA,2
Methods Mol Biol,Trends Parasitol,1
Methods Mol Biol,Virology,1
Methods Mol Biol,Tuberculosis (Edinb),1
Methods Mol Biol,Annu Rev Biochem,2
Methods Mol Biol,Bacteriophage,2
Methods Mol Biol,EMBO Mol Med,1
Methods Mol Biol,J Intern Med,2
Methods Mol Biol,Mol Biol Cell,1
Methods Mol Biol,World J Microbiol Biotechnol,1
Methods Mol Biol,Neurochem Res,1
Methods Mol Biol,BMC Plant Biol,2
Methods Mol Biol,Am J Respir Cell Mol Biol,1
Methods Mol Biol,FEBS Lett,3
Methods Mol Biol,Front Cell Dev Biol,1
Methods Mol Biol,Exp Anim,2
Methods Mol Biol,J Assist Reprod Genet,1
Methods Mol Biol,Curr Opin Microbiol,8
Methods Mol Biol,Cell Biosci,1
Methods Mol Biol,Epigenetics,1
Methods Mol Biol,ISME J,3
Methods Mol Biol,Microbiology,6
Methods Mol Biol,Structure,5
Methods Mol Biol,Antiviral Res,1
Methods Mol Biol,BMC Microbiol,4
Methods Mol Biol,Mob Genet Elements,1
Methods Mol Biol,Sheng Wu Gong Cheng Xue Bao,2
Methods Mol Biol,Plant Cell Physiol,2
Methods Mol Biol,Curr Protoc Mouse Biol,1
Methods Mol Biol,Expert Opin Biol Ther,1
Methods Mol Biol,Environ Microbiol,4
Methods Mol Biol,Nat Genet,2
Methods Mol Biol,PLoS Negl Trop Dis,2
Methods Mol Biol,Zhonghua Bing Li Xue Za Zhi,1
Methods Mol Biol,Ann N Y Acad Sci,1
Methods Mol Biol,Plant Methods,2
Methods Mol Biol,Tumour Biol,1
Methods Mol Biol,PLoS Comput Biol,1
Methods Mol Biol,Gene Regul Syst Bio,2
Methods Mol Biol,Gastroenterology,1
Methods Mol Biol,Annu Rev Food Sci Technol,1
Methods Mol Biol,Infect Immun,2
Methods Mol Biol,Transl Psychiatry,2
Methods Mol Biol,Methods,6
Methods Mol Biol,Toxins (Basel),1
Methods Mol Biol,J Stem Cell Regen Biol,2
Methods Mol Biol,Mol Biotechnol,1
Methods Mol Biol,Mol Biosyst,1
Methods Mol Biol,FEMS Microbiol Rev,3
Methods Mol Biol,Nat Cell Biol,1
Methods Mol Biol,Genes Genet Syst,1
Methods Mol Biol,Brain Res,1
Methods Mol Biol,J Investig Dermatol Symp Proc,1
Methods Mol Biol,J Med Microbiol,3
Methods Mol Biol,J Mol Biol,5
Methods Mol Biol,Plant Mol Biol,4
Methods Mol Biol,Transl Res,1
Methods Mol Biol,FEMS Microbiol Lett,2
Methods Mol Biol,J Mol Cell Biol,3
Methods Mol Biol,J Food Sci,1
Methods Mol Biol,Blood Rev,1
Methods Mol Biol,Hum Mutat,1
Methods Mol Biol,Annu Rev Genet,5
Methods Mol Biol,J Gen Virol,6
Methods Mol Biol,Mamm Genome,1
Methods Mol Biol,World J Gastroenterol,1
Methods Mol Biol,Appl Microbiol Biotechnol,2
Methods Mol Biol,Eukaryot Cell,1
Methods Mol Biol,J Clin Microbiol,5
Methods Mol Biol,FASEB J,1
Methods Mol Biol,Annu Rev Microbiol,1
Methods Mol Biol,EMBO J,13
Methods Mol Biol,Microbiol Spectr,1
Methods Mol Biol,J Biomol Struct Dyn,3
Methods Mol Biol,J Am Chem Soc,5
Methods Mol Biol,Res Microbiol,1
Methods Mol Biol,Food Microbiol,1
Methods Mol Biol,Emerg Infect Dis,4
Methods Mol Biol,J Biochem,2
Methods Mol Biol,Exp Biol Med (Maywood),1
Methods Mol Biol,Biochimie,3
Methods Mol Biol,Curr Opin Struct Biol,1
Methods Mol Biol,Int J Food Microbiol,1
Methods Mol Biol,Life (Basel),2
Methods Mol Biol,Invest Clin,1
Methods Mol Biol,Photosynth Res,2
Methods Mol Biol,Trends Biochem Sci,2
Methods Mol Biol,Foodborne Pathog Dis,2
Methods Mol Biol,Annu Rev Virol,1
Methods Mol Biol,J Orthop Res,1
Methods Mol Biol,Cold Spring Harb Perspect Med,1
Methods Mol Biol,Dev Growth Differ,5
Methods Mol Biol,Int J Biochem Cell Biol,3
Methods Mol Biol,Biochem Soc Trans,14
Methods Mol Biol,J Dairy Sci,1
Methods Mol Biol,Rice (N Y),3
Methods Mol Biol,Expert Opin Ther Targets,1
Methods Mol Biol,PeerJ,1
Methods Mol Biol,Antimicrob Agents Chemother,1
Methods Mol Biol,Phys Life Rev,1
Methods Mol Biol,Uirusu,2
Methods Mol Biol,Wiley Interdiscip Rev RNA,1
Methods Mol Biol,Congenit Anom (Kyoto),2
Methods Mol Biol,Int J Dev Biol,2
Methods Mol Biol,J Neurochem,1
Methods Mol Biol,Eur J Clin Microbiol Infect Dis,1
Methods Mol Biol,Int J Microbiol,1
Methods Mol Biol,Mol Cell Proteomics,2
Methods Mol Biol,BMC Infect Dis,4
Methods Mol Biol,Cold Spring Harb Perspect Biol,1
Methods Mol Biol,F1000 Biol Rep,2
Methods Mol Biol,J Mol Evol,1
Nature,Nat Methods,12
Nature,Adv Exp Med Biol,3
Nature,Sci Rep,49
Nature,Oncogene,3
Nature,Mol Cell,39
Nature,Front Pharmacol,1
Nature,PLoS Genet,11
Nature,PLoS One,45
Nature,Nat Protoc,9
Nature,Methods Mol Biol,30
Nature,Oncotarget,14
Nature,Proc Natl Acad Sci U S A,45
Nature,Science,53
Nature,J Biol Chem,24
Nature,EMBO Rep,1
Nature,Clin Cancer Res,4
Nature,Nucleic Acids Res,59
Nature,ACS Synth Biol,13
Nature,Plant Cell Rep,1
Nature,Cold Spring Harb Protoc,2
Nature,J Bacteriol,24
Nature,J Exp Med,1
Nature,Nat Commun,29
Nature,Metab Eng,2
Nature,Stand Genomic Sci,10
Nature,Genome Announc,5
Nature,Mol Ther,2
Nature,Cell Syst,1
Nature,Cell Rep,17
Nature,J Virol,5
Nature,Cell Mol Life Sci,5
Nature,Philos Trans R Soc Lond B Biol Sci,1
Nature,Cell Metab,5
Nature,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,1
Nature,Protein Cell,10
Nature,Cell,53
Nature,Elife,10
Nature,Cancer Discov,8
Nature,Yi Chuan,3
Nature,Am J Bioeth,2
Nature,Sci Adv,7
Nature,Genome Res,11
Nature,Nat Microbiol,3
Nature,Acta Pharmacol Sin,2
Nature,Genome Biol,17
Nature,BMC Genomics,6
Nature,Stem Cells Transl Med,4
Nature,G3 (Bethesda),7
Nature,Cancer Sci,2
Nature,Genome Biol Evol,3
Nature,Hum Mol Genet,5
Nature,J Cell Physiol,1
Nature,Front Mol Neurosci,1
Nature,Biol Direct,3
Nature,J Integr Plant Biol,4
Nature,Reproduction,1
Nature,MBio,11
Nature,Mol Ther Nucleic Acids,2
Nature,Virol J,1
Nature,Nat Plants,1
Nature,RNA Biol,31
Nature,Nat Chem Biol,4
Nature,Int J Mol Sci,3
Nature,Front Microbiol,2
Nature,Plant Biotechnol J,4
Nature,Nat Biotechnol,65
Nature,Mol Ther Methods Clin Dev,2
Nature,Nat Struct Mol Biol,17
Nature,Mol Cell Biol,2
Nature,Trends Cell Biol,1
Nature,Plant J,2
Nature,FEBS J,10
Nature,Stem Cell Reports,5
Nature,Biol Open,4
Nature,Cell Stem Cell,15
Nature,Bioinformatics,7
Nature,Infect Genet Evol,1
Nature,Cell Res,33
Nature,Extremophiles,2
Nature,Proc Biol Sci,8
Nature,Development,6
Nature,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,1
Nature,Dev Biol,4
Nature,Biochem J,1
Nature,Biotechnol Lett,8
Nature,Nat Neurosci,2
Nature,Int J Biol Sci,4
Nature,Brief Funct Genomics,4
Nature,Stem Cell Res,2
Nature,Angew Chem Int Ed Engl,1
Nature,J Cell Biol,1
Nature,Clin Chem,1
Nature,Biol Chem,3
Nature,J Genet Genomics,12
Nature,Mol Microbiol,12
Nature,Hum Genet,2
Nature,Zhonghua Liu Xing Bing Xue Za Zhi,5
Nature,Stem Cells Dev,3
Nature,Cancer Res,2
Nature,Viruses,1
Nature,Nat Med,9
Nature,Appl Environ Microbiol,2
Nature,DNA Repair (Amst),1
Nature,BMC Biotechnol,2
Nature,Cell Host Microbe,2
Nature,BMC Biol,2
Nature,J Clin Invest,3
Nature,J Control Release,1
Nature,Am J Hum Genet,2
Nature,Hum Gene Ther,11
Nature,Hepatology,2
Nature,Genes Dev,9
Nature,Methods Cell Biol,2
Nature,Cell Discov,3
Nature,Environ Sci Technol,1
Nature,Curr Biol,8
Nature,Biotechnol Bioeng,3
Nature,Bioresour Technol,3
Nature,Cell Microbiol,2
Nature,Sci China Life Sci,1
Nature,Trends Genet,3
Nature,Stem Cells,3
Nature,Trends Biotechnol,1
Nature,Methods Enzymol,17
Nature,Bioessays,2
Nature,Blood,6
Nature,Anal Biochem,3
Nature,Trends Microbiol,5
Nature,Protein Sci,1
Nature,PLoS Pathog,8
Nature,Endocrinology,1
Nature,Eur Urol,4
Nature,Genesis,2
Nature,Nat Rev Mol Cell Biol,2
Nature,Curr Microbiol,2
Nature,J Biotechnol,7
Nature,Curr Protoc Mol Biol,2
Nature,BMC Bioinformatics,1
Nature,New Phytol,1
Nature,Cancer Cell,5
Nature,Curr Opin Biotechnol,2
Nature,Insect Biochem Mol Biol,7
Nature,Cell Biochem Biophys,1
Nature,Microb Cell Fact,1
Nature,Genetics,12
Nature,EBioMedicine,1
Nature,Gut,1
Nature,Nan Fang Yi Ke Da Xue Xue Bao,1
Nature,Biochem Biophys Res Commun,11
Nature,J Neurosci Res,4
Nature,Virol Sin,1
Nature,Nat Rev Genet,9
Nature,Biotechnol J,2
Nature,Curr Opin Immunol,3
Nature,Wei Sheng Wu Xue Bao,5
Nature,J Reprod Immunol,1
Nature,J Vis Exp,5
Nature,Curr Opin Chem Biol,1
Nature,Nat Rev Microbiol,14
Nature,Nat Rev Neurosci,1
Nature,Plant Physiol,3
Nature,Front Genet,3
Nature,Neoplasia,1
Nature,J Cell Sci,1
Nature,Parasitol Res,2
Nature,Parasitology,1
Nature,Genome Med,3
Nature,Mol Plant,9
Nature,Cell Death Differ,2
Nature,Biomed Res Int,1
Nature,Gene Ther,4
Nature,RNA,5
Nature,Mol Biol Evol,1
Nature,Virology,1
Nature,Haematologica,1
Nature,Biomaterials,1
Nature,Annu Rev Biophys,1
Nature,Annu Rev Biochem,2
Nature,Bacteriophage,3
Nature,EMBO Mol Med,3
Nature,Gene,1
Nature,Mol Biol Cell,2
Nature,World J Microbiol Biotechnol,2
Nature,Neurochem Res,1
Nature,BMC Plant Biol,2
Nature,Matrix Biol,1
Nature,Am J Respir Cell Mol Biol,1
Nature,FEBS Lett,4
Nature,?,1
Nature,Exp Anim,3
Nature,J Assist Reprod Genet,1
Nature,Sci Signal,2
Nature,Curr Opin Microbiol,6
Nature,Cell Biosci,2
Nature,Seikagaku,1
Nature,Insect Mol Biol,3
Nature,ISME J,3
Nature,Microbiology,1
Nature,Cancer Lett,2
Nature,Adv Virus Res,2
Nature,Structure,9
Nature,Antiviral Res,1
Nature,Acta Crystallogr D Struct Biol,3
Nature,BMC Microbiol,1
Nature,Biochem Pharmacol,1
Nature,Sheng Wu Gong Cheng Xue Bao,2
Nature,Cell Chem Biol,1
Nature,GM Crops Food,1
Nature,Expert Opin Biol Ther,2
Nature,Environ Microbiol,5
Nature,Nat Genet,3
Nature,Curr Opin Plant Biol,1
Nature,Mol Pharm,2
Nature,Zhonghua Bing Li Xue Za Zhi,2
Nature,Int J Parasitol,1
Nature,Ann N Y Acad Sci,1
Nature,ACS Chem Biol,3
Nature,Acta Biochim Biophys Sin (Shanghai),7
Nature,Biotechniques,2
Nature,Tumour Biol,1
Nature,PLoS Comput Biol,2
Nature,BMC Syst Biol,1
Nature,Gastroenterology,1
Nature,Annu Rev Food Sci Technol,2
Nature,Dev Cell,6
Nature,Gen Comp Endocrinol,1
Nature,Infect Immun,1
Nature,Transl Psychiatry,1
Nature,Methods,1
Nature,Toxins (Basel),1
Nature,Zhonghua Kou Qiang Yi Xue Za Zhi,1
Nature,Mol Biotechnol,2
Nature,Mol Biosyst,2
Nature,Swiss Med Wkly,1
Nature,FEMS Microbiol Rev,3
Nature,Brain Res,1
Nature,J Med Microbiol,1
Nature,J Mol Biol,7
Nature,Nat Rev Immunol,2
Nature,J Pathol,1
Nature,Plant Mol Biol,2
Nature,Mil Med Res,1
Nature,Transl Res,1
Nature,J Mol Cell Biol,4
Nature,J Food Sci,1
Nature,Blood Rev,1
Nature,Hum Mutat,3
Nature,J Nanosci Nanotechnol,3
Nature,Annu Rev Genet,5
Nature,Zhongguo Fei Ai Za Zhi,1
Nature,J Gen Virol,5
Nature,Mamm Genome,2
Nature,World J Gastroenterol,1
Nature,Appl Microbiol Biotechnol,1
Nature,Eukaryot Cell,2
Nature,J Clin Microbiol,6
Nature,FASEB J,2
Nature,Clin Calcium,1
Nature,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,1
Nature,Annu Rev Microbiol,4
Nature,Chem Biol,1
Nature,EMBO J,14
Nature,Microbiol Spectr,2
Nature,Biol Reprod,1
Nature,J Insect Physiol,1
Nature,Nat Rev Cancer,2
Nature,Food Microbiol,1
Nature,Exp Biol Med (Maywood),1
Nature,Curr Opin Virol,2
Nature,Curr Opin Infect Dis,2
Nature,Curr Opin Struct Biol,2
Nature,Int J Food Microbiol,5
Nature,Life (Basel),1
Nature,Quant Biol,3
Nature,JAMA,1
Nature,Microbiol Mol Biol Rev,1
Nature,Trends Biochem Sci,5
Nature,Foodborne Pathog Dis,4
Nature,Cell Regen (Lond),1
Nature,J Orthop Res,2
Nature,Planta,1
Nature,Dev Growth Differ,2
Nature,Int J Biochem Cell Biol,2
Nature,Biochem Soc Trans,16
Nature,J Dairy Sci,1
Nature,Front Cell Infect Microbiol,2
Nature,PeerJ,1
Nature,Antimicrob Agents Chemother,1
Nature,F1000Prime Rep,3
Nature,J Evol Biol,1
Nature,Wiley Interdiscip Rev RNA,1
Nature,Acta Crystallogr Sect F Struct Biol Cryst Commun,1
Nature,Eur J Clin Microbiol Infect Dis,1
Nature,Mol Cell Proteomics,6
Nature,Mol Biol (Mosk),1
Nature,BMC Infect Dis,1
Nature,Cold Spring Harb Perspect Biol,3
Nature,F1000 Biol Rep,2
Oncotarget,Nat Methods,15
Oncotarget,Adv Exp Med Biol,3
Oncotarget,Sci Rep,71
Oncotarget,Oncogene,7
Oncotarget,Mol Cell,7
Oncotarget,Front Pharmacol,1
Oncotarget,PLoS Genet,5
Oncotarget,PLoS One,40
Oncotarget,Nat Protoc,8
Oncotarget,Methods Mol Biol,8
Oncotarget,Nature,14
Oncotarget,Proc Natl Acad Sci U S A,26
Oncotarget,Science,2
Oncotarget,J Zhejiang Univ Sci B,3
Oncotarget,J Biol Chem,10
Oncotarget,Clin Cancer Res,2
Oncotarget,Nucleic Acids Res,27
Oncotarget,ACS Synth Biol,7
Oncotarget,Plant Cell Rep,6
Oncotarget,J Bacteriol,4
Oncotarget,Nat Commun,32
Oncotarget,Metab Eng,4
Oncotarget,Stand Genomic Sci,9
Oncotarget,Genome Announc,2
Oncotarget,Mol Ther,7
Oncotarget,Am J Physiol Renal Physiol,1
Oncotarget,Cell Rep,9
Oncotarget,J Virol,3
Oncotarget,Cell Mol Life Sci,7
Oncotarget,Int J Syst Evol Microbiol,1
Oncotarget,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,1
Oncotarget,Protein Cell,12
Oncotarget,Cell,14
Oncotarget,Elife,5
Oncotarget,Cancer Discov,2
Oncotarget,Yi Chuan,11
Oncotarget,Sci Adv,2
Oncotarget,Genome Res,9
Oncotarget,Nat Microbiol,1
Oncotarget,Acta Pharmacol Sin,1
Oncotarget,Biochim Biophys Acta,1
Oncotarget,Genome Biol,10
Oncotarget,BMC Genomics,6
Oncotarget,Stem Cells Transl Med,5
Oncotarget,G3 (Bethesda),12
Oncotarget,Cancer Sci,1
Oncotarget,Hum Mol Genet,12
Oncotarget,Front Plant Sci,4
Oncotarget,Front Mol Neurosci,3
Oncotarget,J Integr Plant Biol,6
Oncotarget,MBio,3
Oncotarget,Mol Ther Nucleic Acids,3
Oncotarget,Virus Res,4
Oncotarget,Virol J,4
Oncotarget,Nat Plants,4
Oncotarget,RNA Biol,11
Oncotarget,Nat Chem Biol,3
Oncotarget,Int J Mol Sci,5
Oncotarget,Front Microbiol,3
Oncotarget,BMB Rep,2
Oncotarget,Ann Neurol,1
Oncotarget,Plant Biotechnol J,5
Oncotarget,Xenotransplantation,1
Oncotarget,Nat Rev Cardiol,1
Oncotarget,Nat Biotechnol,15
Oncotarget,Mol Ther Methods Clin Dev,3
Oncotarget,Mol Cell Biol,2
Oncotarget,Plant J,4
Oncotarget,FEBS J,7
Oncotarget,Stem Cell Reports,8
Oncotarget,Biol Open,5
Oncotarget,Cell Stem Cell,19
Oncotarget,Bioinformatics,9
Oncotarget,Infect Genet Evol,3
Oncotarget,Parasitol Int,1
Oncotarget,Cell Res,28
Oncotarget,J Cell Biochem,1
Oncotarget,Extremophiles,1
Oncotarget,Proc Biol Sci,2
Oncotarget,Development,8
Oncotarget,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,1
Oncotarget,Dev Biol,4
Oncotarget,Biochem J,2
Oncotarget,J Ind Microbiol Biotechnol,1
Oncotarget,Dev Genes Evol,1
Oncotarget,Biotechnol Lett,8
Oncotarget,Nat Neurosci,4
Oncotarget,Int J Biol Sci,5
Oncotarget,Brief Funct Genomics,8
Oncotarget,Stem Cell Res,2
Oncotarget,Angew Chem Int Ed Engl,3
Oncotarget,J Cell Biol,2
Oncotarget,J Genet Genomics,21
Oncotarget,Hum Genet,1
Oncotarget,Zhonghua Liu Xing Bing Xue Za Zhi,8
Oncotarget,Diabetologia,1
Oncotarget,Stem Cells Dev,3
Oncotarget,Zhongguo Shi Yan Xue Ye Xue Za Zhi,1
Oncotarget,Cancer Res,3
Oncotarget,Viruses,1
Oncotarget,Nat Med,3
Oncotarget,Appl Environ Microbiol,3
Oncotarget,DNA Repair (Amst),2
Oncotarget,BMC Biotechnol,1
Oncotarget,Transgenic Res,3
Oncotarget,Mol Cancer Res,1
Oncotarget,J Clin Invest,4
Oncotarget,Free Radic Biol Med,4
Oncotarget,Fly (Austin),1
Oncotarget,Am J Hum Genet,1
Oncotarget,Hum Gene Ther,3
Oncotarget,Hepatology,4
Oncotarget,Genes Dev,5
Oncotarget,Methods Cell Biol,2
Oncotarget,Dongwuxue Yanjiu,1
Oncotarget,Cell Discov,5
Oncotarget,Environ Sci Technol,1
Oncotarget,Curr Biol,2
Oncotarget,Biotechnol Bioeng,1
Oncotarget,Bioresour Technol,1
Oncotarget,Front Oncol,2
Oncotarget,Sci China Life Sci,1
Oncotarget,Mol Med Rep,1
Oncotarget,Stem Cells,3
Oncotarget,Trends Biotechnol,2
Oncotarget,Methods Enzymol,2
Oncotarget,Blood,1
Oncotarget,Anal Biochem,4
Oncotarget,Epigenetics Chromatin,1
Oncotarget,PLoS Pathog,6
Oncotarget,Eur Urol,9
Oncotarget,Genesis,2
Oncotarget,Curr Microbiol,5
Oncotarget,J Biotechnol,4
Oncotarget,Invest Ophthalmol Vis Sci,1
Oncotarget,Chin J Cancer,1
Oncotarget,New Phytol,1
Oncotarget,Cancer Cell,3
Oncotarget,Insect Biochem Mol Biol,9
Oncotarget,Cell Biochem Biophys,1
Oncotarget,Genetics,8
Oncotarget,EBioMedicine,5
Oncotarget,Mol Oncol,1
Oncotarget,Nan Fang Yi Ke Da Xue Xue Bao,1
Oncotarget,Biochem Biophys Res Commun,11
Oncotarget,J Neurosci Res,2
Oncotarget,Nat Rev Genet,1
Oncotarget,Biotechnol J,5
Oncotarget,Wei Sheng Wu Xue Bao,9
Oncotarget,J Vis Exp,1
Oncotarget,Curr Issues Mol Biol,2
Oncotarget,Plant Physiol,7
Oncotarget,Neoplasia,1
Oncotarget,J Cell Sci,1
Oncotarget,Retrovirology,2
Oncotarget,Parasitol Res,1
Oncotarget,Parasitology,1
Oncotarget,Annu Rev Genomics Hum Genet,1
Oncotarget,Mol Plant,13
Oncotarget,Leukemia,7
Oncotarget,Appl Biochem Biotechnol,2
Oncotarget,Diabetes,2
Oncotarget,Cell Death Differ,3
Oncotarget,Biomed Res Int,9
Oncotarget,Gene Ther,7
Oncotarget,RNA,1
Oncotarget,Parasit Vectors,2
Oncotarget,Virology,1
Oncotarget,Cilia,1
Oncotarget,Am J Transl Res,2
Oncotarget,Neurotherapeutics,2
Oncotarget,Stem Cells Int,1
Oncotarget,Annu Rev Biochem,1
Oncotarget,Dev Dyn,1
Oncotarget,AIDS,3
Oncotarget,EMBO Mol Med,5
Oncotarget,J Intern Med,2
Oncotarget,Mol Biol Cell,3
Oncotarget,N Engl J Med,2
Oncotarget,World J Microbiol Biotechnol,4
Oncotarget,Neurochem Res,2
Oncotarget,Arterioscler Thromb Vasc Biol,2
Oncotarget,BMC Plant Biol,3
Oncotarget,Matrix Biol,1
Oncotarget,Am J Respir Cell Mol Biol,1
Oncotarget,FEBS Lett,1
Oncotarget,?,1
Oncotarget,J Assist Reprod Genet,3
Oncotarget,Sci Signal,1
Oncotarget,Cell Biosci,3
Oncotarget,Mutat Res Rev Mutat Res,1
Oncotarget,Epigenetics,1
Oncotarget,Insect Mol Biol,2
Oncotarget,ISME J,1
Oncotarget,Cancer Lett,1
Oncotarget,Structure,1
Oncotarget,Circ Res,1
Oncotarget,Antiviral Res,2
Oncotarget,Biochem Pharmacol,3
Oncotarget,Sheng Wu Gong Cheng Xue Bao,3
Oncotarget,GM Crops Food,2
Oncotarget,Curr Protoc Mouse Biol,2
Oncotarget,Expert Opin Biol Ther,1
Oncotarget,Environ Microbiol,2
Oncotarget,Nat Genet,2
Oncotarget,Discov Med,2
Oncotarget,Zhonghua Bing Li Xue Za Zhi,1
Oncotarget,Transpl Immunol,1
Oncotarget,Acta Biochim Biophys Sin (Shanghai),3
Oncotarget,Biotechniques,2
Oncotarget,Mol Cell Neurosci,1
Oncotarget,Tumour Biol,1
Oncotarget,BMC Syst Biol,1
Oncotarget,Gastroenterology,1
Oncotarget,Dev Cell,3
Oncotarget,Transl Psychiatry,6
Oncotarget,Methods,1
Oncotarget,Toxins (Basel),4
Oncotarget,Zhonghua Kou Qiang Yi Xue Za Zhi,2
Oncotarget,Mol Biotechnol,1
Oncotarget,J Med Genet,1
Oncotarget,Nat Cell Biol,3
Oncotarget,Brain Res,1
Oncotarget,J Med Microbiol,1
Oncotarget,J Microbiol Biotechnol,1
Oncotarget,Mol Autism,1
Oncotarget,J Pathol,3
Oncotarget,Plant Mol Biol,5
Oncotarget,J Mol Cell Biol,3
Oncotarget,Hum Mutat,5
Oncotarget,Adv Biol Regul,5
Oncotarget,J Nanosci Nanotechnol,4
Oncotarget,Zhongguo Fei Ai Za Zhi,2
Oncotarget,J Surg Res,1
Oncotarget,Ann Transl Med,3
Oncotarget,J Gen Virol,3
Oncotarget,Mamm Genome,1
Oncotarget,Appl Microbiol Biotechnol,2
Oncotarget,J Clin Microbiol,5
Oncotarget,FASEB J,4
Oncotarget,Mol Neurodegener,2
Oncotarget,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,3
Oncotarget,Cell Logist,1
Oncotarget,Chem Biol,6
Oncotarget,EMBO J,6
Oncotarget,Hematology,2
Oncotarget,Sheng Li Ke Xue Jin Zhan,2
Oncotarget,Biol Reprod,2
Oncotarget,Zhonghua Yu Fang Yi Xue Za Zhi,1
Oncotarget,J Insect Physiol,2
Oncotarget,Front Immunol,1
Oncotarget,J Am Chem Soc,1
Oncotarget,Mol Cells,1
